Ticker,Date,Close,Prev_Close,Fut_OI,Prev_Fut_OI,Put_OI,Call_OI,Days_To_Expiry,Rollover_Pct
OBEROIRLTY,2026-09-15,1678.8,1756.0,4473700,4508350,1516900,3469200,14,3.0
OFSS,2026-09-15,11660.0,11674.0,1140500,1159500,662400,1006100,14,5.0
OIL,2026-09-15,485.95,489.8,13484800,13631800,4275600,8951600,14,3.4
ONGC,2026-09-15,234.13,234.12,57903750,59753250,19876500,71120250,14,8.3
PAGEIND,2026-09-15,34850.0,35320.0,227820,229680,41400,96540,14,2.2
PATANJALI,2026-09-15,336.9,340.1,35249250,35158950,3673275,6246825,14,1.3
PAYTM,2026-09-15,1740.4,1820.8,16665575,17850225,10672725,18309875,14,4.7
PERSISTENT,2026-09-15,5498.5,5528.5,3340125,3470375,1191625,1854500,14,4.8
PETRONET,2026-09-15,280.9,286.95,29837600,29313200,4723400,10058600,14,2.8
PFC,2026-09-15,345.7,353.65,94091400,94055000,21060000,33433400,14,4.6
PGEL,2026-09-15,517.95,545.0,11480750,11462700,3784800,6948300,14,2.7
PHOENIXLTD,2026-09-15,1847.0,1897.6,3728200,3721550,593250,1258600,14,0.6
PIDILITIND,2026-09-15,1531.9,1566.8,4992000,5114000,925500,1408500,14,3.6
PIIND,2026-09-15,2235.7,2236.1,4305700,4313050,1399125,2017400,14,11.9
PNB,2026-09-15,114.91,117.37,243864000,245656000,51688000,72320000,14,8.2
PNBHOUSING,2026-09-15,1140.4,1182.1,10131550,9978800,1234350,2617550,14,1.4
POLICYBZR,2026-09-15,1744.9,1801.6,6279350,6114500,1588300,1603350,14,4.4
POLYCAB,2026-09-15,8144.5,8290.5,2645875,2633625,1907000,3265375,14,6.0
POWERGRID,2026-09-15,264.5,269.2,68394300,69112500,20588400,36082900,14,4.5
POWERINDIA,2026-09-15,30255.0,31435.0,476550,479750,234550,670775,14,13.5
PREMIERENE,2026-09-15,944.4,979.8,8620950,8827000,3412500,4851600,14,4.6
PRESTIGE,2026-09-15,1429.2,1499.4,5648850,5638500,2208600,2352150,14,4.7
RADICO,2026-09-15,4344.3,4396.4,1132050,1134750,286950,538800,14,1.0
RBLBANK,2026-09-15,404.95,415.9,36528375,37560250,16919575,22536150,14,2.8
RECLTD,2026-09-15,310.3,314.45,51012675,51156000,16515450,23262750,14,7.9
RELIANCE,2026-09-15,1242.8,1265.3,126435500,128790500,48320500,96206000,14,13.1
RVNL,2026-09-15,198.93,205.11,37152500,37423925,17479000,37447025,14,10.5
SAGILITY,2026-09-15,45.9,45.4,74556000,70356000,33636000,45144000,14,3.9
SAIL,2026-09-15,174.36,181.09,142062200,142659100,17140900,15782600,14,31.2
SBICARD,2026-09-15,623.9,659.1,20079200,19878400,6259200,9140800,14,5.8
SBILIFE,2026-09-15,1663.0,1695.8,8107125,8078250,1942125,4599750,14,5.1
SBIN,2026-09-15,973.9,1000.9,88732500,88840500,39075750,77877000,14,17.6
SHREECEM,2026-09-15,22025.0,22635.0,437325,435750,48775,106275,14,2.3
SHRIRAMFIN,2026-09-15,985.1,1034.3,26833125,27267075,9072525,16330050,14,5.0
SIEMENS,2026-09-15,3758.7,3941.6,3801000,3729425,1001700,1771700,14,5.2
SOLARINDS,2026-09-15,19240.0,22455.0,1037850,817050,938300,2106100,14,8.4
SONACOMS,2026-09-15,781.45,792.5,10547250,10696700,4639075,7762825,14,5.8
SRF,2026-09-15,2452.6,2499.2,4500400,4417800,988800,1313000,14,2.1
SUNPHARMA,2026-09-15,1841.0,1847.5,14460600,15207150,4161150,9714600,14,4.2
SUPREMEIND,2026-09-15,3316.3,3379.6,1923600,1940400,434700,816025,14,18.7
SUZLON,2026-09-15,42.68,44.49,433362100,438061100,79273400,232029000,14,6.8
SWIGGY,2026-09-15,275.65,279.7,93388900,95082500,29156200,36029150,14,5.6
TATACONSUM,2026-09-15,993.8,996.7,16872900,17162200,4577650,6343150,14,4.5
TATAELXSI,2026-09-15,3440.4,3405.8,1983250,2059750,721625,1646000,14,6.1
TATAPOWER,2026-09-15,365.35,366.75,69153400,68614000,28424350,34721700,14,5.0
TATASTEEL,2026-09-15,183.42,182.98,261247250,261379250,75182250,123411750,14,8.4
TCS,2026-09-15,2266.8,2216.5,28409400,29208600,9412875,11328750,14,7.8
TECHM,2026-09-15,1584.3,1541.1,20132400,20452200,5188200,8938200,14,1.4
TIINDIA,2026-09-15,2527.2,2620.5,2199800,2196000,484800,1065600,14,7.7
TITAN,2026-09-15,4892.5,5001.5,4172525,4419275,2039100,3319750,14,10.7
TMPV,2026-09-15,305.85,303.1,83483200,85352000,33568000,51020800,14,9.6
TORNTPHARM,2026-09-15,4862.0,4969.5,2670125,2683000,312000,647000,14,14.6
TRENT,2026-09-15,2745.2,2803.7,9786375,9884025,1957950,4494825,14,2.9
TVSMOTOR,2026-09-15,4052.4,4141.6,7464975,7386575,1748425,3261825,14,3.9
ULTRACEMCO,2026-09-15,10787.0,11014.0,1717450,1758100,432950,868250,14,14.8
UNIONBANK,2026-09-15,175.38,179.51,88893825,87902625,39214350,50298975,14,9.9
UNITDSPR,2026-09-15,1379.7,1399.3,7021200,7077600,1589200,2518800,14,8.2
UNOMINDA,2026-09-15,1168.5,1208.4,5333900,5278350,1262250,2042150,14,1.2
UPL,2026-09-15,559.6,576.7,28992935,29062040,7086650,8876605,14,4.0
VBL,2026-09-15,411.5,416.8,71526225,70915500,17680425,32674425,14,7.8
VEDL,2026-09-15,254.45,263.6,63504150,65717900,22998850,38131700,14,6.5
VMM,2026-09-15,99.47,101.42,59155450,58956600,17590950,34934550,14,4.9
VOLTAS,2026-09-15,1144.0,1171.1,11209875,11331000,4158750,6063000,14,3.1
WAAREEENER,2026-09-15,2536.6,2621.7,6812575,6790000,1201200,2893275,14,10.3
WIPRO,2026-09-15,169.6,165.49,207783000,213468000,53700000,81069000,14,13.4
YESBANK,2026-09-15,23.2,23.67,1007982100,1013393500,235644700,432943100,14,16.6
ZYDUSLIFE,2026-09-15,1103.1,1124.9,11159100,11333700,2826900,5766300,14,2.7
